Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/25/2025,12/26/2025,CVSExtraCare 8007467287RI,Health & Wellness,Sale,-5.49,
12/24/2025,12/25/2025,EXXON I 15 TRAVEL STOP,Gas,Sale,-12.24,
12/19/2025,12/21/2025,ST GEORGE VETERINARY HOS,Personal,Sale,-491.48,
12/18/2025,12/19/2025,ST GEORGE VETERINARY HOS,Personal,Sale,-815.20,
12/18/2025,12/19/2025,APPLE.COM/BILL,Shopping,Sale,-7.98,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,5.00,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,20.00,
12/17/2025,12/18/2025,ROCKY VISTA UNIVERSITY,Education,Sale,-3183.00,
12/17/2025,12/18/2025,ROCKY VISTA UNIVERSITY,Education,Sale,-10000.00,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,5.00,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,5.00,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,20.00,
12/17/2025,12/18/2025,Publicrecords US,Professional Services,Return,5.00,
12/17/2025,12/17/2025,Payment Thank You-Mobile,,Payment,383.40,
12/15/2025,12/17/2025,MAVERIK #00680 ST. GEO,Gas,Sale,-27.10,
12/15/2025,12/16/2025,Publicrecords US,Professional Services,Sale,-20.00,
12/15/2025,12/16/2025,DIGBY'S MARKET,Groceries,Sale,-31.58,
12/15/2025,12/15/2025,Spotify USA,Bills & Utilities,Sale,-11.99,
12/13/2025,12/14/2025,OTT* DROPOUT,Bills & Utilities,Sale,-6.99,
12/13/2025,12/14/2025,ARCO#00606EL CAMINO AUTO,Gas,Sale,-36.69,
12/12/2025,12/14/2025,SQ *KONA ISLAND COFFEE,Food & Drink,Sale,-6.75,
12/13/2025,12/14/2025,KWIK STOP MARKET,Gas,Sale,-30.01,
12/08/2025,12/10/2025,TST*LA PLAZA TAQUERIA 6,Food & Drink,Sale,-3.27,
12/08/2025,12/09/2025,SPO*TALAVERACOCINAMEXICAN,Food & Drink,Sale,-15.66,
12/08/2025,12/09/2025,LA PLAZA MARKET  #6,Groceries,Sale,-4.82,
12/09/2025,12/09/2025,SP COOP SLEEP GOODS,Home,Sale,-84.55,
12/07/2025,12/08/2025,AVENUE YARNS,Shopping,Sale,-55.38,
12/07/2025,12/08/2025,SP THE BLACK SQUIRRE,Shopping,Sale,-22.33,
12/07/2025,12/07/2025,Payment Thank You-Mobile,,Payment,336.12,
