TransactionDate,Description,Category,Type,Amount
12/27/2022,CHEVRON 0208461,Gas,Sale,-30.0
12/25/2022,ARCO #42810,Gas,Sale,-25.23
12/23/2022,TACONTENTO MEXICAN RESTAU,Food & Drink,Sale,-10.31
12/25/2022,CVS CarePass,Health & Wellness,Sale,-5.49
12/23/2022,WAL-MART #5807,Groceries,Sale,-3.11
12/23/2022,RITE AID 05476,Health & Wellness,Sale,-55.11
12/21/2022,CHEVRON 0209042,Gas,Sale,-35.93
12/22/2022,Subway 18092,Food & Drink,Sale,-6.64
12/20/2022,SANTA CRUZ THREAD,Health & Wellness,Sale,-25.0
12/19/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.0
12/18/2022,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99
12/18/2022,APPLE.COM/BILL,Shopping,Sale,-4.99
12/18/2022,PAYRANGE MOBILE,Food & Drink,Sale,-25.0
12/15/2022,Spotify USA,Bills & Utilities,Sale,-9.99
12/04/2022,FAMILY DOLLAR #11372,Shopping,Sale,-24.43
12/04/2022,RED MOUNTAIN MARKET,Groceries,Sale,-24.03
11/29/2022,bathandbodyworks.com,Shopping,Sale,-33.81
11/29/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,19.51
11/28/2022,OMAHASTEAKS.COM,Groceries,Sale,-129.99
11/28/2022,EB WERE HERE PREMIER-,Personal,Sale,-12.24
11/26/2022,Etsy.com - PetPartyCo,Shopping,Sale,-16.05
11/26/2022,AMZN Mktp US*HW4C04WP0,Shopping,Sale,-22.18
11/25/2022,CVS CarePass,Health & Wellness,Sale,-5.49
